Feeder Name,Grid,1st Cycle,2nd Cycle,3rd Cycle,4th Cycle
36 B RMU,Korangi East,1035~1305,1505~1805,1935~2205,0005~0205
3A RMU,Landhi,0935~1105,1335~1505,1635~1805,2235~0005
500 Quarter,KEPZ,0935~1205,1335~1635,1805~2035,2235~0035
51 - C (Ex-Korangi Telephone Exchange # 03),Korangi South,0835~1105,1235~1535,1705~1935,2135~2335
52 A,KEPZ,1105~1235,1505~1635,1805~1935,0035~0205
5-C Bilal Abad (Ex-Bank Alfalah),Korangi South,0735~0935,1105~1335,1505~1805,2035~2305
7 A RMU,Korangi East,1035~1205,1335~1505,1735~1905,0005~0135
A-1 Center,Civic Center,0705~0835,1135~1305,1535~1705,1905~2035
Abbas Bawazir,Airport,0835~1105,1235~1535,1705~1935,2135~2335
Abdul Ghani,Gulistan E Johar,0805~0935,1235~1405,1535~1705,2135~2305
Abdul Mannan,Garden East,0935~1105,1335~1505,1705~1835,2305~0035
Abdul Rehman,KDA,0805~0935,1235~1405,1535~1705,2135~2305
Abdullah Gabol Village (Ex-Sector Y),Gulshan-E-Maymar,1105~1335,1505~1805,1935~2205,0005~0205
Abidabad (Ex-Mushtaq 1),Site,0705~0935,1135~1435,1635~1905,2035~2235
Achanak Hotel,Shadman,0705~0935,1135~1435,1635~1905,2035~2235
Acil,Valika,0735~1005,1205~1505,1635~1905,2105~2305
Adam Hingora Goth,Malir,0835~1105,1235~1535,1705~1935,2205~0005
Adullah Shah Ghazi Goth (Ex. Al-Azhar Garden),KDA,1035~1305,1505~1805,1935~2205,0005~0205
Afnan,Gulistan E Johar,0805~0935,1235~1405,1535~1705,2135~2305
Afridi Colony,Baldia,0735~0935,1105~1335,1505~1805,1935~2205
Afzal Motor,Port Qasim,0835~1105,1235~1535,1705~1935,2205~0005
Agha Shahi,Gadap,1105~1335,1505~1805,1935~2205,0005~0205
Ahsan Hotel,Site,0735~1005,1205~1505,1635~1905,2105~2305
Ahsan Medical,Surjani Town,1035~1305,1505~1805,1935~2205,0005~0205
Ahsanabad Phase-Iv,Gulshan-E-Maymar,0735~0935,1105~1335,1535~1835,2035~2305
Airport Telephone Exchange,Airport,0935~1205,1335~1635,1805~2035,2235~0035
Ajmair Garden,Gulshan-E-Maymar,1035~1205,1335~1505,1735~1905,0005~0135
Akram Store RMU,Baldia,0935~1105,1335~1505,1705~1835,2305~0035
Al Ghafoor Attrium,Shadman,0705~0835,1135~1305,1535~1705,1905~2035
Al Khair Bakers,Hospital,0835~1105,1235~1535,1705~1935,2135~2335
Al Wajid Town,Site,0735~1005,1205~1505,1635~1905,2105~2305
Al Watan,Surjani Town,0705~0935,1205~1505,1635~1905,2035~2235
Al-Akhwan Masjid,Federal B,0905~1135,1335~1635,1805~2035,2205~0005
Al-Asif Sq,Federal B,0735~1005,1205~1505,1635~1905,2035~2235
Aleem Paradise,Surjani Town,0735~1005,1205~1505,1635~1905,2035~2235
Aleemabad (Ex-Indus Mehran),Malir,0835~1105,1235~1535,1705~1935,2205~0005
Al-Fatah,Orangi Town,0735~1005,1205~1505,1635~1905,2105~2305
Al-Fawad Medical,Baldia,0735~0935,1105~1335,1505~1805,1935~2205
Al-Hira,North Karachi,0705~0935,1135~1435,1635~1905,2035~2235
Ali Garh Bazar,North Nazimabad,0735~1005,1205~1505,1635~1905,2035~2235
Ali Ice,Korangi Town,1035~1205,1335~1505,1735~1905,0005~0135
Alif Laila,Baldia,1005~1235,1435~1735,1905~2135,2305~0105
Alkaram Square,Liaquatabad,0705~0835,1205~1335,1535~1705,2135~2305
All Pakistan Patni Muslim Jamaat,Gulshan-E-Maymar,1035~1305,1505~1805,1935~2205,0005~0205
Al-Madina Godhra,Federal B,0905~1135,1335~1635,1805~2035,2205~0005
Al-Maroof Sweets,Old Golimar,1005~1235,1435~1735,1905~2135,2305~0105
Al-Mumtaz,Valika,0735~1005,1205~1505,1635~1905,2105~2305
Al-Murtaza,Liaquatabad,0935~1105,1335~1505,1705~1835,2305~0035
Al-Syed Centre,Landhi,0935~1205,1335~1635,1805~2035,2235~0035
Alvi Road,Lyari,1005~1235,1435~1735,1905~2135,2305~0105
Amalgamated,Korangi East,1105~1335,1505~1805,1935~2205,0005~0205
Amazon,Baldia,0935~1205,1335~1635,1805~2035,2205~0005
Amba Jee Villa Jee,Garden East,0935~1205,1405~1705,1835~2105,2305~0105
Amber Garment,Malir,0835~1105,1235~1535,1705~1935,2135~2335
Ameen Mazda,Labour Square,0705~0905,1105~1335,1505~1805,1935~2205
Amroha Society RMU,KDA,1105~1235,1505~1635,1805~1935,0035~0205
Ana Crown RMU (Ex - Ghanchi Para),Garden East,0705~0835,1205~1335,1535~1705,2135~2305
Anamta Society,Surjani Town,0735~1005,1205~1505,1635~1905,2035~2235
Anwar Mama Pmt,Korangi Town,0835~1105,1235~1535,1705~1935,2135~2335
Apwa College (Moosa Colony) (Ex-Govt. School),Liaquatabad,0935~1205,1335~1635,1805~2035,2235~0035
Ara Machine,Korangi Town,1035~1205,1335~1505,1735~1905,0005~0135
Areesha Chs (Ex-Johar Complex ),Gulistan E Johar,1035~1205,1335~1505,1735~1905,0005~0135
Army Flates,Jacobline,1105~1235,1505~1635,1805~1935,0035~0205
Ashraf Nagar,North Nazimabad,0935~1105,1335~1505,1705~1835,2305~0035
Asim Industries,Site,0735~1005,1205~1505,1635~1905,2105~2305
Asio African,Old Golimar,1005~1235,1435~1735,1905~2135,2305~0105
Asphalt Plant,KDA,0835~1105,1235~1535,1705~1935,2205~0005
Atlas Autos,Landhi,1035~1205,1335~1505,1735~1905,0005~0135
Atma Ram Pritam Das,Lyari,1005~1235,1435~1735,1905~2135,2305~0105
Aurangabad (Old Fine Textile),Site,1005~1235,1435~1735,1905~2135,2305~0105
Azam Basti,Mehmoodabad,0935~1205,1335~1635,1805~2035,2235~0035
Azeem Park,Gulshan,1035~1305,1505~1805,1935~2205,0005~0205
Azeem Plaza,Garden East,0935~1205,1335~1635,1805~2035,2235~0035
Aziz Baloch,Mauripur,0735~1005,1205~1505,1635~1905,2105~2305
Baba Wilayat Ali Shah,Airport 2,0805~0935,1235~1405,1535~1705,2135~2305
Badshah Khan RMU (Ex-Port Grand),Queens Road,0735~1005,1205~1505,1635~1905,2105~2305
Bagh E Malir,Airport 2,0835~1105,1235~1535,1705~1935,2205~0005
Baghdadi S/S,Lyari,1005~1235,1435~1735,1905~2135,2305~0105
Baldia School RMU,Landhi,0735~0935,1105~1335,1505~1805,2035~2305
Baloch Hotel RMU,Jail Road,1035~1305,1505~1805,1935~2205,0005~0205
Baloch Star RMU,Lyari,1005~1235,1435~1735,1905~2135,2305~0105
Balouchistan Partical Board,Hub Chowki,0705~0935,1135~1435,1635~1905,2035~2235
Banaras,North Nazimabad,0735~1005,1205~1505,1635~1905,2035~2235
Bandooq Wala,Garden East,0935~1205,1405~1705,1835~2105,2305~0105
Bank Alfalah,North Karachi,0935~1205,1335~1635,1805~2035,2235~0035
Bantwa S/S,Azizabad,0935~1205,1335~1635,1805~2035,2235~0035
Baraf Khana (Ex-Zam Zam Ice ),Airport 2,0835~1105,1235~1535,1705~1935,2135~2335
Baray Wala RMU,Korangi South,0935~1205,1335~1635,1805~2035,2235~0035
Barelli Colony,Airport,0835~1105,1235~1535,1705~1935,2135~2335
Barkat Market,North Karachi,0905~1135,1335~1635,1805~2035,2205~0005
Bashir Chowk,Gulshan-E-Maymar,0935~1205,1335~1635,1805~2035,2235~0035
Basra Soap,Federal A,0935~1205,1335~1635,1805~2035,2235~0035
Behar Colony,Old Town,1005~1235,1435~1735,1905~2135,2305~0105
