name,name_original,amenity,shop,tourism,@lat,@lon,final_category
Askari Bank,عسکری بینک,bank,,,24.8499525,67.0096177,Services
Masjid Ahsan Ul Uloom,Masjid Ahsan Ul Uloom,place_of_worship,,,24.9237178,67.0877572,Religious & Community
Total,Total,fuel,,,24.893615,66.975677,Transport & Vehicles
Total,ٹوٹل,fuel,,,24.9041386,66.9631744,Transport & Vehicles
Oven Fresh Bakery,Oven Fresh Bakery,,bakery,,24.9383338,67.0418258,Food & Dining
Masjid e Quba,Masjid e Quba,place_of_worship,,,24.93996,67.0720062,Religious & Community
Masjid O Imambargah Aal-e-Aba,Masjid O Imambargah Aal-e-Aba,place_of_worship,,,24.9372836,67.0688635,Religious & Community
Farooq-e-Azam Masjid,Farooq-e-Azam Masjid,place_of_worship,,,24.9364664,67.070975,Religious & Community
Jama-e-Masjid Gulberg,Jama-e-Masjid Gulberg,place_of_worship,,,24.9420905,67.0661736,Religious & Community
Medina,Medina,place_of_worship,,,24.93196,67.0652157,Religious & Community
Shadab Masjid,Shadab Masjid,place_of_worship,,,24.9339683,67.0615736,Religious & Community
Al-Falah,Al-Falah,place_of_worship,,,24.9298897,67.0729277,Religious & Community
Aqsa,Aqsa,place_of_worship,,,24.9279375,67.0775849,Religious & Community
Al-Akhwan,Al-Akhwan,place_of_worship,,,24.9247526,67.0779918,Religious & Community
Madni,Madni,place_of_worship,,,24.9208797,67.0901765,Religious & Community
Shah Faisal,Shah Faisal,place_of_worship,,,24.9249817,67.0958843,Religious & Community
Memon,Memon,place_of_worship,,,24.8838075,67.0594417,Religious & Community
Alvi Dental Hospital,Alvi Dental Hospital,hospital,,,24.8563966,67.0544131,Healthcare
Bilal Masjid,مسجد بلال,place_of_worship,,,24.8762259,67.0871296,Religious & Community
Masjid Makkah,مسجد مکہ,place_of_worship,,,24.8751763,67.0854461,Religious & Community
Links Primary School,Links Primary School,school,,,24.8088198,67.0306753,Education
Links Pre School,Links Pre School,school,,,24.8079442,67.0288964,Education
Links Secondary School- Clifton 4,Links Secondary School- Clifton 4,school,,,24.8049404,67.0296412,Education
Al Hamra Masjid,Al Hamra Masjid,place_of_worship,,,24.8731903,67.080227,Religious & Community
Gizri Police Station,Gizri Police Station,police,,,24.8275591,67.0594362,Services
Shell Bahria,Shell Bahria,fuel,,,24.8176839,67.0654722,Transport & Vehicles
Park Towers Supermarket,Park Towers Supermarket,,supermarket,,24.8144196,67.0269686,Shopping & Retail
Jumbo Super Store,Jumbo Super Store,,convenience,,24.8746536,67.0887461,Shopping & Retail
Tania Clinic,Tania Clinic,clinic,,,24.8947671,67.0570175,Healthcare
Masjid Umar Farooq,Masjid Umar Farooq,place_of_worship,,,24.8099273,67.069189,Religious & Community
Hot 'n' Spicy,Hot 'n' Spicy,fast_food,,,24.8095767,67.0694223,Food & Dining
Espresso Cafe,Espresso Cafe,cafe,,,24.8081254,67.0614712,Food & Dining
Total,ٹوٹل,fuel,,,24.8410899,67.060603,Transport & Vehicles
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.8831011,67.0902983,Food & Dining
Awami Markaz,Awami Markaz,parking,,,24.8708003,67.0914152,Transport & Vehicles
Chillis Fast Food,Chillis Fast Food,fast_food,,,24.8746202,67.0880587,Food & Dining
Kaybees Fast Food,Kaybees Fast Food,fast_food,,,24.8753422,67.0878142,Food & Dining
Ideal Bakers,Ideal Bakers,,bakery,,24.8671234,67.075395,Food & Dining
