name,name_original,amenity,shop,tourism,@lat,@lon
Askari Bank,عسکری بینک,bank,,,24.8499525,67.0096177
Masjid Ahsan Ul Uloom,Masjid Ahsan Ul Uloom,place_of_worship,,,24.9237178,67.0877572
Total,Total,fuel,,,24.893615,66.975677
Total,ٹوٹل,fuel,,,24.9041386,66.9631744
Oven Fresh Bakery,Oven Fresh Bakery,,bakery,,24.9383338,67.0418258
Masjid e Quba,Masjid e Quba,place_of_worship,,,24.93996,67.0720062
Masjid O Imambargah Aal-e-Aba,Masjid O Imambargah Aal-e-Aba,place_of_worship,,,24.9372836,67.0688635
Farooq-e-Azam Masjid,Farooq-e-Azam Masjid,place_of_worship,,,24.9364664,67.070975
Jama-e-Masjid Gulberg,Jama-e-Masjid Gulberg,place_of_worship,,,24.9420905,67.0661736
Medina,Medina,place_of_worship,,,24.93196,67.0652157
Shadab Masjid,Shadab Masjid,place_of_worship,,,24.9339683,67.0615736
Al-Falah,Al-Falah,place_of_worship,,,24.9298897,67.0729277
Aqsa,Aqsa,place_of_worship,,,24.9279375,67.0775849
Al-Akhwan,Al-Akhwan,place_of_worship,,,24.9247526,67.0779918
Madni,Madni,place_of_worship,,,24.9208797,67.0901765
Shah Faisal,Shah Faisal,place_of_worship,,,24.9249817,67.0958843
Memon,Memon,place_of_worship,,,24.8838075,67.0594417
Alvi Dental Hospital,Alvi Dental Hospital,hospital,,,24.8563966,67.0544131
Bilal Masjid,مسجد بلال,place_of_worship,,,24.8762259,67.0871296
Masjid Makkah,مسجد مکہ,place_of_worship,,,24.8751763,67.0854461
Links Primary School,Links Primary School,school,,,24.8088198,67.0306753
Links Pre School,Links Pre School,school,,,24.8079442,67.0288964
Links Secondary School- Clifton 4,Links Secondary School- Clifton 4,school,,,24.8049404,67.0296412
Al Hamra Masjid,Al Hamra Masjid,place_of_worship,,,24.8731903,67.080227
Gizri Police Station,Gizri Police Station,police,,,24.8275591,67.0594362
Shell Bahria,Shell Bahria,fuel,,,24.8176839,67.0654722
Park Towers Supermarket,Park Towers Supermarket,,supermarket,,24.8144196,67.0269686
Jumbo Super Store,Jumbo Super Store,,convenience,,24.8746536,67.0887461
Tania Clinic,Tania Clinic,clinic,,,24.8947671,67.0570175
Masjid Umar Farooq,Masjid Umar Farooq,place_of_worship,,,24.8099273,67.069189
Hot 'n' Spicy,Hot 'n' Spicy,fast_food,,,24.8095767,67.0694223
Espresso Cafe,Espresso Cafe,cafe,,,24.8081254,67.0614712
Total,ٹوٹل,fuel,,,24.8410899,67.060603
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.8831011,67.0902983
Awami Markaz,Awami Markaz,parking,,,24.8708003,67.0914152
Chillis Fast Food,Chillis Fast Food,fast_food,,,24.8746202,67.0880587
Kaybees Fast Food,Kaybees Fast Food,fast_food,,,24.8753422,67.0878142
Ideal Bakers,Ideal Bakers,,bakery,,24.8671234,67.075395
Fun City - Hill Park,Fun City - Hill Park,,,attraction,24.8712798,67.0710927
Shell,شیل,fuel,,,24.865712,67.0778031
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8796563,67.0654992
Meezan Bank Ltd,Meezan Bank Ltd,bank,,,24.8798826,67.0652313
Rangoonwala Hall,Rangoonwala Hall,,,attraction,24.8854042,67.074655
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8765375,67.0844129
Shell Askari 4,شیل عسکری 4,fuel,,,24.9006974,67.1166364
Meezan Bank Limited (Shahrah-e-Faisal 0111),Meezan Bank Limited (Shahrah-e-Faisal 0111),bank,,,24.8640287,67.0758432
Tabani School of Accountancy,Tabani School of Accountancy,school,,,24.8632665,67.0586436
Avari Beach Luxury Hotel,Avari Beach Luxury Hotel,,,hotel,24.8438592,66.9956082
CNG filling station,CNG filling station,fuel,,,24.9233647,67.0898984
RAB Medical Centre,RAB Medical Centre,hospital,,,24.9223154,67.0885875
Samdani Hospital,Samdani Hospital,hospital,,,24.9215799,67.0882897
Masjid Ali Murtaza,Masjid Ali Murtaza,place_of_worship,,,24.8838908,66.9515963
Masjid Hassan,Masjid Hassan,place_of_worship,,,24.8866452,66.9541068
PAFWA Montessori,PAFWA Montessori,kindergarten,,,24.8883581,66.9541723
College of Aviation Safety Management - CASM,College of Aviation Safety Management - CASM,school,,,24.8885533,66.952873
Motor Bike Repair,Motor Bike Repair,,motorcycle,,24.8849001,66.9514257
Electronic Repair Shop,Electronic Repair Shop,,doityourself,,24.8864895,66.9544319
Cycle Repair,Cycle Repair,,bicycle,,24.8865212,66.9543728
Medical Institute,Medical Institute,hospital,,,24.8881829,66.9529916
Veg n Fruit Shop,Veg n Fruit Shop,,greengrocer,,24.8864505,66.9542147
Photo Shop,Photo Shop,,,artwork,24.8864311,66.9543301
General Store,General Store,,convenience,,24.8865187,66.9544936
PAF Cinema,PAF Cinema,cinema,,,24.8878039,66.9548042
General Store,General Store,,convenience,,24.8876773,66.9548042
Sweet Shop,Sweet Shop,,confectionery,,24.8830699,66.9502246
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8832645,66.9501307
Repair Shop,Repair Shop,,doityourself,,24.8850267,66.9513398
CSD Store,CSD Store,,supermarket,,24.883447,66.9500314
Medical Store,Medical Store,pharmacy,,,24.8829872,66.9501924
Barber Shop,Barber Shop,,hairdresser,,24.8848125,66.95149
Tyre Shop,Tyre Shop,,car_repair,,24.8849683,66.951372
General Store,General Store,,convenience,,24.8860578,66.9552993
Nan Shop,Nan Shop,restaurant,,,24.8860968,66.9552671
